symbol,bot_type,price,atr_pct,dollar_vol_m,sma,in_uptrend,has_options
APO,15M_STK,146.55,1.73,22.72,0.0,True,True
CLX,15M_STK,100.82,1.73,7.93,0.0,True,True
PEN,15M_STK,309.44,1.73,7.93,0.0,True,True
ADM,15M_STK,59.05,1.72,6.67,0.0,True,True
APTV,15M_STK,78.45,1.72,5.23,0.0,True,True
AXTA,15M_STK,33.02,1.72,7.31,0.0,True,True
BN,15M_STK,46.63,1.72,13.72,0.0,True,True
BWA,15M_STK,46.64,1.72,6.01,0.0,True,True
EFX,15M_STK,214.08,1.72,15.51,0.0,True,True
TEVA,15M_STK,30.94,1.72,16.93,0.0,True,True
GMED,15M_STK,87.28,1.72,5.29,0.0,True,True
AMG,15M_STK,288.7,1.71,7.24,0.0,True,True
CASY,15M_STK,555.62,1.7,9.06,0.0,True,True
